Latitude,Longitude,Depth to water (ft),lastLoc
35.65611111111111,-83.58222222222221,8.99,3538390894935d
35.6825,-80.60722222222222,7.25,3539220833456d
35.690555555555555,-76.52833333333334,3.95,3540570803626d
35.692499999999995,-82.07277777777777,29.79,3541260763142d
35.692499999999995,-82.07277777777777,29.8,3541330820422d
35.69555555555555,-78.76694444444445,25.77,3541330820422d
35.69555555555555,-78.76694444444445,31.53,3541440784601d
35.70444444444445,-76.45333333333333,2.71,3541440784601d
35.7075,-76.3913888888889,4.61,3542160762712d
35.717222222222226,-81.72555555555556,8.38,3542270762329d
35.717222222222226,-81.72555555555556,11.38,3543020814332d
35.72083333333334,-78.50027777777778,18.98,3543020814332d
35.72083333333334,-78.50027777777778,17.47,3543150783001d
35.73305555555556,-78.67527777777778,30.57,3543150783001d
35.73833333333334,-76.77666666666667,4.67,3543590784031d
35.77111111111111,-81.14750000000001,37.47,3544180764636d
35.77111111111111,-81.14750000000001,37.71,3546160810851d
35.780277777777776,-78.66861111111112,5.74,3546160810851d
35.780277777777776,-78.66861111111112,6.18,3546490784007d
35.79666666666667,-78.53305555555555,27.73,3546490784007d
35.805,-78.39472222222223,19.8,3547480783159d
35.81527777777777,-78.92555555555556,42.77,3548180782341d
35.821111111111115,-90.85694444444444,85.86,3548550785532d
35.841944444444444,-81.4088888888889,10.84,3549160905125d
35.841944444444444,-81.4088888888889,21.3,3550310812432d
35.89972222222222,-80.55472222222222,15.61,3550310812432d
35.91583333333333,-78.39083333333333,9.5,3553590803317d
35.94305555555555,-78.64750000000001,107.79,3554570782327d
35.94916666666666,-78.57388888888889,37.12,3556350783851d
35.9925,-119.10555555555555,355.98,3556570783426d
35.995555555555555,-79.0261111111111,35.88,3559331190620d
36.015277777777776,-110.5111111111111,418.93,3559440790134d
36.047777777777775,-90.29222222222222,11.03,3600551103040d
36.047777777777775,-90.29222222222222,-20.14,3602520901732d
36.06444444444444,-78.69555555555556,26.47,3602520901732d
36.07361111111111,-89.81388888888888,16.51,3603520784144d
