Latitude,Longitude,Depth to water (ft),lastLoc,Address
42.39944444,-88.60055556,35.52,4223410714649d,Illinois
42.39472222,-71.78027778,4.97,4223230761903d,Massachusetts
42.38972222,-76.3175,12.61,4223080882642d,New York
42.38555556,-88.445,12.45,4223080882310d,Illinois
42.38555556,-88.38611111,19.23,4223080882310d,Illinois
42.38555556,-88.38611111,8.93,4223080881956d,Illinois
42.38555556,-88.33222222,57.29,4223080881956d,Illinois
42.38555556,-88.33222222,15.35,4222480713624d,Illinois
42.38,-71.60666667,18.35,4222410732746d,Massachusetts
42.37805556,-73.46277778,9.91,4221500974024d,New York
42.36388889,-97.67333333,25.34,4221420883031d,Nebraska
42.36166667,-88.50861111,41.24,4221420883031d,Illinois
42.36166667,-88.50861111,40.22,4221200883309d,Illinois
42.35555556,-88.5525,36.34,4221030722411d,Illinois
42.35083333,-72.40305556,3.73,4220580720851d,Massachusetts
42.34944444,-72.1475,16.56,4220560852117d,Massachusetts
42.34888889,-85.35472222,10.79,4220320882220d,Michigan
42.34222222,-88.37222222,35.71,4219480744837d,Illinois
42.33,-74.81027778,0.69,4219480744837d,Delaware
42.33,-74.81027778,4.95,4219230724510d,Delaware
42.32305556,-72.75277778,9.82,4219140881253d,Massachusetts
42.32055556,-88.21472222,23,4219030741523d,Illinois
42.3175,-74.25638889,16.41,4218530712205d,New York
42.31472222,-71.36805556,15.26,4218200881545d,Massachusetts
42.30555556,-88.2625,48.36,4218131155558d,Illinois
42.30361111,-115.9327778,21.72,4217470882707d,Idaho
42.29638889,-88.45194444,80.31,4217460741802d,Illinois
42.29611111,-74.30055556,6.24,4216530883709d,New York
42.28138889,-88.61916667,30.45,4216530883709d,Illinois
42.28138889,-88.61916667,21.58,4216410853506d,Illinois
42.27805556,-85.585,4.27,4216260883114d,Michigan
42.27388889,-88.52055556,5.79,4215560752816d,Illinois
42.26555556,-75.47111111,7.67,4215470881423d,New York
42.26305556,-88.23972222,93.77,4215440780213d,Illinois
42.26222222,-78.03694444,-1.52,4215330884218d,New York
42.25916667,-88.705,6.67,4215120774728d,Illinois
42.25333333,-77.79111111,5.19,4214380711656d,New York
42.24388889,-71.28222222,32.12,4214100720811d,Massachusetts
42.23611111,-72.13638889,18.48,4213410882837d,Massachusetts
42.22805556,-88.47694444,10.86,4213410882837d,Illinois
42.22805556,-88.47694444,10.88,4213320854019d,Illinois
42.22555556,-85.67194444,8.91,4213320854019d,Michigan
42.22555556,-85.67194444,4.89,4213210883411d,Michigan
42.2225,-88.56972222,74.91,4212410881018d,Illinois
42.21138889,-88.17166667,22.98,4212400724902d,Illinois
42.21111111,-72.81722222,0.76,4212170791836d,Massachusetts
42.20472222,-79.31,1.58,4212130763133d,New York
42.20361111,-76.52583333,16.13,4212100984020d,New York
42.20277778,-98.67222222,8.53,4211570755354d,Nebraska
42.19916667,-75.89833333,66.55,4211450881948d,New York
42.19583333,-88.33,90.78,4211450881948d,Illinois
42.19583333,-88.33,1.95,4211380755113d,Illinois
42.19388889,-75.85361111,23.12,4211220882227d,New York
42.18944444,-88.37416667,24.52,4211220882227d,Illinois
42.18944444,-88.37416667,23.49,4211200882818d,Illinois
42.18888889,-88.47166667,29.74,4210560883808d,Illinois
42.18222222,-88.63555556,9.48,4210360880545d,Illinois
42.17666667,-88.09583333,150.73,4210120723243d,Illinois
42.17,-72.54527778,22.27,4208280764846d,Massachusetts
42.14111111,-76.81277778,22.63,4208251230404d,New York
42.14027778,-123.0677778,39.64,4208150761555d,Oregon
42.1375,-76.26527778,41.42,4207100770521d,New York
42.11944444,-77.08916667,73.84,4206190765152d,New York
42.10527778,-76.86444444,23.59,4206100714214d,New York
42.10277778,-71.70388889,3.01,4205440711737d,Massachusetts
42.09555556,-71.29361111,5.7,4205300784452d,Massachusetts
42.09166667,-78.74777778,6.31,4204570881058d,New York
42.0825,-88.18277778,71.98,4203500731936d,Illinois
42.06388889,-73.32666667,11.5,4203260792958d,Massachusetts
42.05722222,-79.49944444,2.11,4203181213122d,New York
42.055,-121.5227778,317.71,4203160704335d,Oregon
